Id,Title,Geography ISO,Documents,Category,Events,Sectors,Instruments,Frameworks,Responses,Natural Hazards,Document Type,Year,Language,Keywords
10492,Recovery and resilience plan for Croatia,HRV,https://ec.europa.eu/info/business-economy-euro/recovery-coronavirus/recovery-and-resilience-facility/croatias-recovery-and-resilience-plan_en#croatias-recovery-and-resilience-plan|en,executive,01/05/2021|Approved||,Buildings;Economy-wide;Energy;Transport,"Subsidies|Economic;Processes, plans and strategies|Governance",,Mitigation,,Plan,2019,English,EV;covid19;Rail;Energy Efficiency
10492,National recovery and resilience plan 2021-2026,HRV,https://ec.europa.eu/info/files/recovery-and-resilience-plan-croatia_en|hr,executive,01/05/2021|Approved||,Buildings;Economy-wide;Energy;Transport,"Subsidies|Economic;Processes, plans and strategies|Governance",,Mitigation,,Plan,2021,Croatian ,EV;covid19;Rail;Energy Efficiency
10492,Recovery plan,HRV,https://planoporavka.gov.hr|hr,executive,01/05/2021|Approved||,Buildings;Economy-wide;Energy;Transport,"Subsidies|Economic;Processes, plans and strategies|Governance",,Mitigation,,Plan,2021,Croatian ,EV;covid19;Rail;Energy Efficiency
10492,Factsheet: Croatia’s recovery and resilience plan,HRV,https://ec.europa.eu/info/files/factsheet-croatias-recovery-and-resilience-plan_en|en,executive,01/05/2021|Approved||,Buildings;Economy-wide;Energy;Transport,"Subsidies|Economic;Processes, plans and strategies|Governance",,Mitigation,,Summary,2021,English,EV;covid19;Rail;Energy Efficiency
10492,ANNEX to the Council Implementing Decision on the approval of the assessment of the recovery and resilience plan for Croatia,HRV,https://www.consilium.europa.eu/en/documents-publications/public-register/public-register-search/results/?WordsInSubject=&WordsInText=&DocumentNumber=10687%2F21&InterinstitutionalFiles=&DocumentDateFrom=&DocumentDateTo=&MeetingDateFrom=&MeetingDateTo=&DocumentLanguage=EN&OrderBy=DOCUMENT_DATE+DESC&ctl00%24ctl00%24cpMain%24cpMain%24btnSubmit=|en,executive,01/05/2021|Approved||,Buildings;Economy-wide;Energy;Transport,"Subsidies|Economic;Processes, plans and strategies|Governance",,Mitigation,,Annex,2021,English,EV;covid19;Rail;Energy Efficiency
1137,Decree Law No. 170 of the Civil Defense Measures System,CUB,http://www.parlamentocubano.gob.cu/index.php/documento/ley-de-la-defensa-nacional/|es,legislative,21/12/1994|Law passed||;19/05/1997|Last amended||,Disaster Risk Management (Drm);Economy-wide;Transportation,"Capacity building|Governance;Institutional mandates|Governance;Processes, plans and strategies|Governance;Research & Development, knowledge generation|Information",,Adaptation;Disaster Risk Management,,Decree Law,1997,Spanish,Adaptation;Institutions / Administrative Arrangements
1137,Decree Law No. 170 of the Civil Defense Measures System,CUB,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbW9NIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--bda483175a199dedc2476d73b4a91172f7c936bc/cub82158.pdf|es,legislative,21/12/1994|Law passed||;19/05/1997|Last amended||,Disaster Risk Management (Drm);Economy-wide;Transportation,"Capacity building|Governance;Institutional mandates|Governance;Processes, plans and strategies|Governance;Research & Development, knowledge generation|Information",,Adaptation;Disaster Risk Management,,Decree Law,1997,Spanish,Adaptation;Institutions / Administrative Arrangements
9209,Confrontation to climate change in the Republic of Cuba - Life task,CUB,https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcXdFIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--3db0019152b7cb8512ba5a07aec475310face4d9/f|es,executive,30/04/2017|Law passed||,Tourism;Water,"Standards, obligations and norms|Regulation;Zoning & Spatial Planning|Regulation;Research & Development, knowledge generation|Information",Adaptation,Adaptation,Drought;Flooding;Cyclones;Tsunamis;Storms;Hurricanes;Changes In Soil Quality;Soil Erosion;Sea Level Rise;Changes In Groundwater;Changes In Average Precipitation;Ocean Acidification,Plan,2017,Spanish,Adaptation;Disaster Risk Management
9209,Life task,CUB,https://www.ecured.cu/Tarea_Vida|es,executive,30/04/2017|Law passed||,Tourism;Water,"Standards, obligations and norms|Regulation;Zoning & Spatial Planning|Regulation;Research & Development, knowledge generation|Information",Adaptation,Adaptation,Drought;Flooding;Cyclones;Tsunamis;Storms;Hurricanes;Changes In Soil Quality;Soil Erosion;Sea Level Rise;Changes In Groundwater;Changes In Average Precipitation;Ocean Acidification,Summary,2017,Spanish,Adaptation;Disaster Risk Management
10494,Cyprus’ recovery and resilience plan ,CYP,https://ec.europa.eu/info/business-economy-euro/recovery-coronavirus/recovery-and-resilience-facility/cyprus-recovery-and-resilience-plan_en#cyprus-recovery-and-resilience-plan|en,executive,01/04/2021|Approved||,Economy-wide;Energy;Transport,"Subsidies|Economic;Tax incentives|Economic;Carbon pricing & emissions trading|Economic;Processes, plans and strategies|Governance",,Mitigation,,Plan,2021,English,Renewables;EV;covid19;Cycling;Energy Efficiency;Public Transport;modal shift;active travel
