"Id","Name","External url","Language","Last verified on","Documentable id","Documentable type"
"4440","full text 1","https://www.epe.gov.br/sites-en/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-212/Executive%20Summary%20PDE%202029.pdf","Portuguese","07/05/2021","9862","Legislation"
"4439","full text","https://www.ccacoalition.org/en/resources/bangladesh-national-action-plan-reducing-short-lived-climate-pollutants","English","07/05/2021","9861","Legislation"
"4438","full text","https://www.bopa.ad/bopa/030030/Pagines/GD20180517_11_23_50.aspx","Catalan","07/05/2021","9779","Legislation"
"4437","full text","https://www.mediambient.ad/images/stories/PDF/PAACC/ProcesAdaptacioAndorra_CC2014.pdf","Catalan","07/05/2021","9780","Legislation"
"4436","full text","https://www.bopa.ad/bopa/032118/Documents/GR20201002_12_02_02.pdf","Catalan","07/05/2021","9781","Legislation"
"4435","full text","https://www.bopa.ad/bopa/030057/Pagines/CGL20180928_13_54_03.aspx","Catalan","07/05/2021","9782","Legislation"
"4434","full text","https://www.bopa.ad/bopa/027038/Pagines/ga27038039.aspx","Catalan","07/05/2021","9783","Legislation"
"4433","full text","https://www.bopa.ad/bopa/032020/Pagines/GD20200305_10_26_14.aspx","Catalan","07/05/2021","9784","Legislation"
"4432","full text","https://www.bopa.ad/bopa/033019/Documents/Mem%C3%B2ria_GD20210204_16_16_19.pdf","Catalan","07/05/2021","9785","Legislation"
"4431","full text","https://www.bopa.ad/bopa/022064/Pagines/68ECE.aspx","Catalan","07/05/2021","9786","Legislation"
"4430","full text","https://www.bopa.ad/bopa/032010/Pagines/GR20200131_11_29_26.aspx","Catalan","07/05/2021","9787","Legislation"
"4429","full text","https://www.bopa.ad/bopa/032146/Pagines/GR20201204_12_07_33.aspx","Catalan","07/05/2021","9788","Legislation"
"4428","full text","https://www.bopa.ad/bopa/032069/Pagines/GR20200515_10_21_59.aspx","Catalan","07/05/2021","9789","Legislation"
"4427","full text","https://www.bopa.ad/bopa/030040/Pagines/GD20180622_09_07_48.aspx","Catalan","07/05/2021","9791","Legislation"
"4426","full text 2","https://www.bopa.ad/bopa/028067/Pagines/CGL20161109_11_13_11.aspx","Catalan","07/05/2021","9793","Legislation"
"4425","full text 1","http://www.consellgeneral.ad/ca/arxiu/arxiu-de-lleis-i-textos-aprovats-en-legislatures-anteriors/vii-legislatura-2015-2019/copy_of_lleis-aprovades/llei-4-2016-del-10-de-marc-de-foment-del-vehicle-electric","Catalan","07/05/2021","9793","Legislation"
"4424","full text","https://www.bopa.ad/bopa/032069/Pagines/GR20200515_13_26_20.asp","Catalan","07/05/2021","9794","Legislation"
"4423","Full text","https://www.bopa.ad/bopa/025051/Pagines/8212A.aspx","Catalan","07/05/2021","9795","Legislation"
"4422","full text 2","https://www.bopa.ad/bopa/033016/Pagines/GSUB20210129_09_43_58.aspx","Catalan","07/05/2021","9796","Legislation"
"4421","full text 1","https://www.bopa.ad/bopa/032016/Pagines/GD20200220_16_01_19.aspx","Catalan","07/05/2021","9796","Legislation"
"4417","Full text Strategy","https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52020DC0381","English","05/05/2021","9960","Legislation"
"4416","Full text Communication","https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52020DC0102","English","05/05/2021","9959","Legislation"
"4415","Full text regulations","https://www.legislation.gov.uk/uksi/2014/1643/contents/made","English","04/05/2021","9958","Legislation"
"4414","Scheme website","https://www.floodre.co.uk/about-us/","English","04/05/2021","9957","Legislation"
"4413","Full text Policy Statement","https://www.fca.org.uk/publication/policy/ps20-17.pdf","English","04/05/2021","9956","Legislation"
"4412","Full text regulations","https://www.legislation.gov.uk/uksi/2021/189/schedule/made","English","04/05/2021","9955","Legislation"
"4411","Full text rules","https://www.legislation.gov.uk/uksi/2021/199/made","English","04/05/2021","9954","Legislation"
"4410","Full text PDF","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/810197/NPPF_Feb_2019_revised.pdf","English","04/05/2021","9953","Legislation"
"4409","Full Text PDF","https://www.gov.uk/government/publications/energy-white-paper-powering-our-net-zero-future","English","04/05/2021","9952","Legislation"
"4408","Full Text Document","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/972520/north-sea-transition-deal_A_FINAL.pdf","English","04/05/2021","9951","Legislation"
"4407","Government web page","https://www.gov.uk/government/collections/net-zero-innovation-portfolio","English","04/05/2021","9950","Legislation"
"4406","Full text legislation","https://www.legislation.gov.uk/ukpga/2020/21/contents/enacted/data.htm","English","04/05/2021","9949","Legislation"
"4405","Full text regulations","https://www.legislation.gov.uk/uksi/2020/1265/introduction/made","English","04/05/2021","9948","Legislation"
"4404","Full text legislation","https://www.legislation.gov.uk/ukpga/2021/1/contents/enacted","English","04/05/2021","9947","Legislation"
"4403","Full text legislation","https://www.legislation.gov.uk/ukpga/2020/14/contents/enacted","English","04/05/2021","9946","Legislation"
"4402","Full Text PDF","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/970229/Industrial_Decarbonisation_Strategy_March_2021.pdf","English","04/05/2021","9945","Legislation"
"4401","Full text PDF","https://www.gov.uk/government/publications/national-infrastructure-strategy","English","04/05/2021","9944","Legislation"
"4400","Full Text PDF","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/936567/10_POINT_PLAN_BOOKLET.pdf","English","04/05/2021","9943","Legislation"
"4399","Full text regulations","https://www.legislation.gov.uk/uksi/2018/1155/made","English","04/05/2021","9942","Legislation"
"4398","Link to UK Government Guidance Page","https://www.gov.uk/government/publications/academy-trust-financial-management-good-practice-guides/streamlined-energy-and-carbon-reporting","English","04/05/2021","9942","Legislation"
"4397","Full Text PDF","https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/966868/BUDGET_2021_-_web.pdf","English","04/05/2021","9941","Legislation"
"4396","Contracts for Difference","https://www.gov.uk/government/publications/contracts-for-difference/contract-for-difference","","04/05/2021","1765","Legislation"
"4395","Energy Act 2013","https://www.legislation.gov.uk/ukpga/2013/32/contents/enacted","English","04/05/2021","1765","Legislation"
"4394","Oil and Gas Authority Strategy","https://www.ogauthority.co.uk/news-publications/news/2021/revised-oga-strategy-comes-into-force/","English","04/05/2021","2045","Legislation"
"4374","full text","https://www.bopa.ad/bopa/032029/Pagines/GD20200312_15_02_09.aspx","Catalan","27/04/2021","9792","Legislation"
"4373","full text","https://www.bopa.ad/bopa/029018/Pagines/GD20170317_11_37_47.aspx","Catalan","27/04/2021","9792","Legislation"
"4372","Link to PPCerrado's 3rd phase (PDF)","http://combateaodesmatamento.mma.gov.br/images/conteudo/Livro-PPCDam-e-PPCerrado_WEB_1.pdf","Portuguese","27/04/2021","9737","Legislation"
"4371","Emissions Reduction Fund","https://www.industry.gov.au/funding-and-incentives/emissions-reduction-fund","English","27/04/2021","1034","Legislation"
"4370","Full text (PDF)","https://www.legislation.gov.au/Details/C2016C00155","English","27/04/2021","1034","Legislation"
"4369","Link to amending decree","https://www.bopa.ad/bopa/029020/Pagines/GD20170324_10_28_12.aspx","Catalan","19/04/2021","4902","Legislation"
"4368","Full text (PDF)","","English","N/A","9775","Legislation"
"4367","2021 version (pdf)","https://www.gesetze-im-internet.de/eeg_2014/EEG_2021.pdf","German","29/03/2021","2072","Legislation"
"4350","Full text on official website","https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=COM:2021:82:FIN","English","23/03/2021","9771","Legislation"
"4349","Full text of the regulation on official webpage","https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32021R0241&qid=1616507861922","English","23/03/2021","9635","Legislation"
"4348","Official webpage","https://www.consilium.europa.eu/en/policies/eu-recovery-plan/","English","23/03/2021","9635","Legislation"
"4347","21.7.20 Conclusion of the European Council","https://www.consilium.europa.eu/media/45109/210720-euco-final-conclusions-en.pdf","English","23/03/2021","9635","Legislation"
"4346","27.5.20  budget proposal from the Commission","https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=COM%3A2020%3A442%3AFIN","English","23/03/2021","9635","Legislation"
"4345","2020 parliamentary amendments (PDF) 2","https://dip21.bundestag.de/dip21/btd/19/223/1922346.pdf","German","23/03/2021","9723","Legislation"
"4344","2020 parliamentary amendments (PDF) 1","https://dip21.bundestag.de/dip21/btd/19/199/1919929.pdf","German","23/03/2021","9723","Legislation"
"4343","Full text on official webpage","http://www.gesetze-im-internet.de/behg/","German","23/03/2021","9723","Legislation"
"4342","Link to 2021 document on official website","https://data.dre.pt/web/guest/pesquisa/-/search/154483167/details/maximized","Portuguese","18/03/2021","1571","Legislation"
"4341","Impact Assessment Act","https://laws.justice.gc.ca/PDF/I-2.75.pdf","English","17/03/2021","9769","Legislation"
"4340","Strategic Assessment of Climate Change","https://www.canada.ca/en/services/environment/conservation/assessments/strategic-assessments/climate-change.html#toc3","English","17/03/2021","9769","Legislation"
"4334","Full Text ","https://www.retsinformation.dk/eli/lta/2020/965","Danish","11/03/2021","9363","Legislation"
"4333","Link to the Strategic Roadmap for Hydrogen and Fuel Cells","https://www.meti.go.jp/english/press/2019/0312_002.html","","05/03/2021","9768","Legislation"
"4332","Link to official page and pdfs for the 2018 version","https://www.meti.go.jp/english/press/2018/0703_002.html","English","05/03/2021","8646","Legislation"
"4331","Provisional translation (PDF)","https://www.meti.go.jp/english/press/2017/pdf/1226_003b.pdf","English","01/03/2021","9768","Legislation"
"4330","Full text (PDF)","https://www.meti.go.jp/press/2020/12/20201225012/20201225012-2.pdf","Japanese","01/03/2021","9767","Legislation"
"4329","Overview (provisional translation)","https://www.meti.go.jp/english/press/2020/pdf/1225_001a.pdf","English","01/03/2021","9767","Legislation"
"4328","Link to official website","https://www.meti.go.jp/english/press/2020/1225_001.html","English","01/03/2021","9767","Legislation"
"4327","Full text (PDF)","","Korean","N/A","9766","Legislation"
"4326","Full text (PDF)","https://www.industry.gov.au/sites/default/files/2019-11/australias-national-hydrogen-strategy.pdf","English","01/03/2021","9764","Legislation"
"4325","Link to official website","https://www.industry.gov.au/data-and-publications/australias-national-hydrogen-strategy","English","01/03/2021","9764","Legislation"
"4324","Link to non-official website for 774/2008","https://lawphil.net/executive/execord/eo2008/eo_774_2008.html","","01/03/2021","9640","Legislation"
"4323","Full text (PDF)","","English","N/A","1041","Legislation"
"4322","English translation (PDF)","https://www.bmwi.de/Redaktion/EN/Publikationen/nape-national-action-plan-on-energy-efficiency.pdf?__blob=publicationFile&v=1","English","01/03/2021","8621","Legislation"
"4321","Full text (PDF)","","Ukrainian","N/A","9763","Legislation"
"4320","Link to official website","https://www.regeringen.se/regeringens-politik/nationell-strategi-for-klimatanpassning/","Swedish","01/03/2021","8763","Legislation"
"4316","Link to full text on official website","https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32014L0089&from=RO","English","27/02/2021","9762","Legislation"
"4315","Link to full text on official journal","https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000043148001","French","25/02/2021","9761","Legislation"
"4314","Link to full text on official journal","https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000043130880","French","25/02/2021","9760","Legislation"
"4313","Link to full text (PDF)","https://isap.sejm.gov.pl/isap.nsf/download.xsp/WDU20180000317/U/D20180317Lj.pdf","Polish","25/02/2021","9759","Legislation"
"4312","Full text from official journal (PDF)","","Modern Greek (1453-)","N/A","9758","Legislation"
"4311","Link to full text (PDF)","https://www.government.se/4ad42c/contentassets/d5ab250cf59a47b38feb8239eca1f6ab/circular-economy--strategy-for-the-transition-in-sweden","English","25/02/2021","9757","Legislation"
"4310","Translated summary (PDF)","https://www.miteco.gob.es/es/calidad-y-evaluacion-ambiental/temas/economia-circular/espanacircular_2030_executivesummary_en_tcm30-510578.pdf","English","25/02/2021","9756","Legislation"
"4309","Full text (PDF)","https://www.miteco.gob.es/es/calidad-y-evaluacion-ambiental/temas/economia-circular/espanacircular2030_def1_tcm30-509532.PDF","Spanish","25/02/2021","9756","Legislation"
"4308","Link to official website - O 261","https://zakon.rada.gov.ua/laws/show/z1254-20/print","Ukrainian","25/02/2021","9755","Legislation"
"4307","Link to official website - O 260","https://zakon.rada.gov.ua/laws/show/z1257-20/print","Ukrainian","25/02/2021","9755","Legislation"
"4306","Full text (PDF)","","Spanish","N/A","9753","Legislation"
"4305","Link to full text (PDF)","https://www.regjeringen.no/contentassets/202fec60ac844d4ca7d53d65b6b9ac9c/alle-regjeringa-vil-punkt-i-meldinga.pdf","Norwegian","22/02/2021","9749","Legislation"
"4304","Link to official website","https://www.regjeringen.no/en/aktuelt/heilskapeleg-plan-for-a-na-klimamalet/id2827600/","English","22/02/2021","9749","Legislation"
